City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,port blair,11.6667,92.75,26.02,94,40,0.0,IN,1722820495
334,novyy urgal,51.0736,132.5642,14.91,95,100,1.23,RU,1722820496
335,namibe,-15.1961,12.1522,15.56,89,0,1.55,AO,1722820497
336,ardabil,38.2498,48.2933,18.43,76,0,1.23,IR,1722820499
337,port hedland,-20.3167,118.5667,18.03,55,0,7.2,AU,1722820500
338,goyerkata,26.6998,89.0257,24.9,95,100,2.15,IN,1722820502
339,thames,-37.1333,175.5333,12.96,55,24,1.29,NZ,1722820503
340,vorkuta,67.5,64.0,9.01,65,64,4.86,RU,1722820504
341,colonia menno,-22.3667,-59.8167,26.56,47,96,3.39,PY,1722820506
342,katsuren-haebaru,26.3369,127.8719,32.83,68,40,6.17,JP,1722820508
343,skeldon,5.8833,-57.1333,25.2,90,100,0.94,GY,1722820509
344,srednebelaya,50.6594,128.0106,25.21,98,100,5.93,RU,1722820510
345,lakatoro,-16.0999,167.4164,24.4,55,3,8.49,VU,1722820511
346,aoulef,26.9667,1.0833,37.58,10,9,4.32,DZ,1722820512
347,arica,-18.475,-70.3042,15.75,72,0,1.54,CL,1722820008
348,panama city beach,30.1766,-85.8055,24.45,93,100,3.13,US,1722820514
349,gornozavodsk,58.3758,58.3211,12.31,98,30,1.37,RU,1722820515
350,vorgashor,67.5833,63.95,8.45,65,57,5.03,RU,1722820516
351,karagandy,49.8019,73.1021,8.97,62,0,3.19,KZ,1722820517
352,erenhot,43.6475,111.9767,24.62,30,0,1.64,CN,1722820518
353,caucasia,7.9865,-75.1935,24.97,90,89,1.46,CO,1722820519
354,miramichi,47.0043,-65.4654,21.47,91,100,2.96,CA,1722820520
355,bousso,10.4795,16.7117,21.86,89,100,1.48,TD,1722820522
356,puerto carreno,6.189,-67.4859,27.11,83,100,1.25,CO,1722820523
357,esperantinopolis,-4.8667,-44.7083,23.54,44,2,1.25,BR,1722820274
358,bhimunipatnam,17.8833,83.4333,27.73,79,100,1.52,IN,1722820525
359,cody,44.5263,-109.0565,26.12,44,40,3.58,US,1722820526
